"date","usman.50","glocom.50","usman.40","glocom.40","usman.growing","glocom.growing","usman.accel","glocom.accel","usman.3mgrowth","glocom.3mgrowth","profitgrowth.pos","revgrowth.pos","profitgrowth.accel","revgrowth.accel","industry.growing","industry.accel","label"
2015-01-24,1,1,1,1,0,1,0,0,0,0,1,1,0,0,1,0,1
2015-02-24,1,1,1,1,0,1,0,1,0,0,1,1,0,0,1,0,0
2015-03-24,1,1,1,1,0,1,0,0,0,1,1,1,0,0,1,0,1
2015-04-24,1,1,1,1,0,1,0,0,0,1,0,0,0,0,1,0,1
2015-05-24,1,1,1,1,1,0,0,0,0,0,0,0,0,0,1,0,1
2015-06-24,1,1,1,1,1,0,0,0,0,0,0,0,0,0,1,0,1
2015-07-24,1,1,1,1,0,1,0,0,0,0,0,0,0,0,1,0,1
2015-08-24,1,1,1,1,0,1,0,1,0,0,0,0,0,0,1,0,0
2015-09-24,1,1,1,1,0,0,0,0,0,0,0,0,0,0,1,0,1
2015-10-24,1,1,1,1,0,1,0,0,0,0,0,0,0,1,1,0,1
2015-11-24,0,1,1,1,0,1,0,0,0,0,0,0,0,1,1,0,1
2015-12-24,0,1,1,1,0,0,0,0,0,0,0,0,0,1,0,0,1
